stopword_str,sentimen
jalan suradipa peguyangan denpasar utara parah min tolong atensi,negatif
jalan antasura bolong gali pdam hebat,negatif
jalan padma lubang,negatif
kebo iwa selatan masuk list tunggu terimakasih informasi,positif
jalan siul habis bobol pdam rusak gmn min,negatif
jalan suradipa tunjung denut benyah latig banjir min mohon pantau atensi,negatif
informasi manfaat transparansi program perintah masyarakat kota,positif
terimakasih kakak mininfo keluh kritik saran kena fasilitas layan publik kota denpasar buka layan pro denpasar,positif
kebo iwa selatan suksma,positif
mantap info nik,positif
jalan setiabudi denpasar brp,negatif
jalan suradipa kenangandihapus peta jalan kota denpasarpadahal plat merah seliwer jalan suradipabenyah latig,negatif
jalan gunung tangkuban perahu jaman kerja bolong tambal alhasil jalan begajulan bahaya jalan marka jalan lihat,negatif
benah jalan gajah mada sembrabut,negatif
trotoar jalan nangka,negatif
denpasarkota tolong kalo laku aspal ulang trotoargot alir air selokan jalan menhakibatkankan jalan rusak tambal sulam nyata jalan lubang,negatif
sekar jepun nggih,positif
jalan denpasar rusak pusat kota lubang hasanudin thamrin gajahmada,negatif
kesiman kertalangu,positif
kebo iwa selatan min parah banget denpasarkota,negatif
jalan pulau roti jalan rusak banjir hujan,negatif
jalan tukad irawadi panjer parah min mohon atensi,negatif
komen jalan rusak tolong cari data wenang pusat provinsi pemkot biar komennya mubasir,positif
jalan akasia gang pudak gang alir got buntu,negatif
denpasarkota mohon tindak karna cuman sih si mempan karna alir got buntu,negatif
tolong jalan raya pasang marka garis jalan zebra cross garis putus lpju mati,negatif
gatsu timur bekas bca pom bensin,positif
jalan kusuma bangsa aspal meter loh kusuma bangsa aspal,negatif
jalan provinsi kota camat kepala daerah densel lurah dung urus,positif
air pdam daerah padangsambian mati,negatif
iri denpasar,positif
jalan hasanudin plisss banget exwisata rusak parah jalan lubang,negatif
jalan wibisana sing adenusa kambang mas,negatif
harap proyek trotoar jalan fungsi drainese salur air fungsi pikir buka tutup titik kumpul sampah debit air suksma harap warga denpasar nyaman sehat,positif
jalan denpasar gilimanuk,negatif
badah jala karya makmur alokasi dana,negatif
suksma adu sampun masuk projek strategis,positif
ngapain trotoar kena denda ngerusak trotoar trotoar rumah rusak nurunin material,negatif
bangun sekolah puluh milyar,negatif
cek info tender,positif
selamat sore jalan lintas denpasar jalan trotoar jalan ratna hambat pejal kaki pot pasang trotoar atur lintas traffic light kenyerigatsu timur simpang kenyerikecubungwr supratman simpang kfc sanur simpang sedap malamhangtuah simpang buluh indahmahendradattagunung agung perempatanperempatan traffic light samasama nyala lampu hijau arah beda benah jalan sendirisendiri bahaya bingung jalan tertib hadap kendara kes hobi laku langgar lintas bahaya jalan kendara merokokngevapengepod terobos lampu merah lawan arahmemasuki jalan tanda larang masuk parkir kendara pintu masukkeluar kendara trotoar kendara angkat motor salip celah sempit samping kiri mobil pengkol kiri nyala lampu terang jalan malam,positif
macet sampah punapi program,negatif
lantai bor,positif
kerja masyarakat,positif
apbd denpasar,positif
